FI Utilities Corp,MaturityDate,OfferingDate,State RegionFromPrimaryAddress,SeniorityLevel,CouponRate,CouponatOffer,OfferingAmount,Rating
IQT14332657,12/15/2006,12/10/1996,MA,Senior Unsecured,6.375,6.375,20,A
IQT14219941,12/1/2008,12/10/1996,VA,Senior Unsecured,6.625,6.625,150,AA-
IQT14220537,12/17/2001,12/11/1996,DC,Senior Unsecured,6.53,6.53,100,Unknown
IQT14220654,12/15/1999,12/12/1996,MI,Senior Unsecured,6.5,6.5,0.158,BB
IQT14220656,11/15/2001,12/12/1996,MI,Senior Unsecured,7.125,7.125,0.295,BB
IQT14220063,12/15/2001,12/12/1996,IA,Senior Unsecured,6.5,6.5,100,A+
IQT14220658,12/15/2003,12/12/1996,MI,Senior Unsecured,7.5,7.5,0.448,BB
IQT14220054,12/1/2026,12/12/1996,WI,Senior Secured,7.375,7.375,65,AA
IQT32252154,12/1/2026,12/12/1996,WI,Senior Unsecured,7.375,7.375,8.376,AA
IQT14220067,12/15/2026,12/12/1996,NC,Senior Unsecured,7.45,7.45,50,A-
IQT14220659,12/15/1999,12/19/1996,MI,Senior Unsecured,6.625,6.625,0.142,BB
IQT14220660,11/15/2001,12/19/1996,MI,Senior Unsecured,7.25,7.25,0.511,BB
IQT14220662,12/15/2003,12/19/1996,MI,Senior Unsecured,7.625,7.625,0.616,BB
IQT40621356,11/18/2008,12/19/1996,LA,Senior Unsecured,6.28,6.28,20,Unknown
IQT14220842,12/15/1999,1/2/1997,MI,Senior Unsecured,6.625,6.625,0.126,BB
IQT14220844,11/15/2001,1/2/1997,MI,Senior Unsecured,7.25,7.25,0.57,BB
IQT14220843,12/15/2003,1/2/1997,MI,Senior Unsecured,7.625,7.625,0.446,BB
IQT14220471,1/15/2004,1/6/1997,IL,Senior Unsecured,7.375,7.375,150,BBB
IQT14220472,1/15/2007,1/6/1997,IL,Senior Unsecured,7.625,7.625,150,BBB
IQT14221159,12/15/1999,1/9/1997,MI,Senior Unsecured,6.75,6.75,0.353,BB
IQT14221157,11/15/2001,1/9/1997,MI,Senior Unsecured,7.375,7.375,0.513,BB
IQT14221161,12/15/2003,1/9/1997,MI,Senior Unsecured,7.75,7.75,0.826,BB
IQT14221133,1/16/2002,1/13/1997,MI,Senior Unsecured,6.89,6.89,90,BBB+
IQT14221134,1/16/2004,1/13/1997,MI,Senior Unsecured,7.12,7.12,60,BBB+
IQT14221256,1/17/2017,1/14/1997,NV,Senior Unsecured,7.59,7.59,25,Unknown
IQT14221153,12/15/1999,1/16/1997,MI,Senior Unsecured,6.75,6.75,0.503,BB
IQT14221155,1/15/2002,1/16/1997,MI,Senior Unsecured,7.5,7.5,1.104,BB
IQT14221166,1/15/2004,1/16/1997,MI,Senior Unsecured,8,8,2.809,BB
IQT32239903,1/17/2017,1/17/1997,NV,Senior Unsecured,7.59,7.59,25,Unknown
IQT14221466,12/15/1999,1/23/1997,MI,Senior Unsecured,6.75,6.75,0.398,BB
IQT14221427,1/15/2002,1/23/1997,MI,Senior Unsecured,7.5,7.5,0.721,BB
IQT14221428,1/15/2004,1/23/1997,MI,Senior Unsecured,8,8,0.879,BB
IQT14221718,2/1/2001,1/28/1997,CO,Senior Secured,6.6,6.6,30,A-
IQT14221717,2/2/2004,1/28/1997,CO,Senior Secured,6.9,6.9,45,A-
IQT14221716,2/3/2022,1/29/1997,NV,Senior Unsecured,7.78,7.78,25,Unknown
IQT14221747,12/15/1999,1/30/1997,MI,Senior Unsecured,6.75,6.75,0.271,BB
IQT14221702,1/15/2002,1/30/1997,MI,Senior Unsecured,7.5,7.5,0.6,BB
IQT14221703,1/15/2004,1/30/1997,MI,Senior Unsecured,8,8,1.178,BB
IQT14222009,2/1/2007,2/4/1997,DE,Senior Unsecured,7.11,7.11,1,A
IQT14222010,2/1/2007,2/4/1997,DE,Senior Unsecured,7.08,7.08,10,A
IQT14222013,2/1/2027,2/4/1997,DE,Senior Unsecured,7.72,7.72,30,A
IQT14222029,3/1/2000,2/5/1997,OH,Senior Secured,6.4,6.4,48,BBB+
IQT14221954,3/1/2000,2/5/1997,OH,Senior Secured,6.35,6.35,48,A-
IQT14222019,2/1/2007,2/5/1997,DE,Senior Unsecured,7.11,7.11,10,A
IQT14222016,2/1/2017,2/5/1997,DE,Senior Unsecured,7.62,7.62,2,A
IQT14222015,2/1/2017,2/5/1997,DE,Senior Unsecured,7.58,7.58,2,A
IQT14222000,12/15/1999,2/6/1997,MI,Senior Unsecured,6.75,6.75,0.214,BB
IQT14221997,1/15/2002,2/6/1997,MI,Senior Unsecured,7.5,7.5,0.889,BB
IQT14221998,1/15/2004,2/6/1997,MI,Senior Unsecured,8,8,1.872,BB
IQT14222017,2/1/2017,2/6/1997,DE,Senior Unsecured,7.62,7.62,2,A
IQT14222011,2/1/2007,2/7/1997,DE,Senior Unsecured,7.06,7.06,10,A
IQT14222020,2/1/2017,2/7/1997,DE,Senior Unsecured,7.55,7.55,4,A
IQT14222012,12/2/2019,2/7/1997,DE,Senior Unsecured,7.61,7.61,12,A
IQT14222047,2/15/2007,2/10/1997,SC,Senior Unsecured,6.9,6.9,25,A-
IQT14278128,2/1/2007,2/12/1997,DE,Senior Unsecured,7.06,7.06,10.5,A
IQT14278127,2/1/2017,2/12/1997,DE,Senior Unsecured,7.56,7.56,15,A
IQT14255402,2/15/2000,2/13/1997,MI,Senior Unsecured,6.625,6.625,0.397,BB
IQT14255403,2/15/2004,2/13/1997,MI,Senior Unsecured,7.625,7.625,1.177,BB
IQT14278126,2/1/2017,2/13/1997,DE,Senior Unsecured,7.54,7.54,15.7,A
IQT14222575,2/15/2000,2/20/1997,MI,Senior Unsecured,6.5,6.5,0.082,BB
IQT14222548,2/15/2002,2/20/1997,MI,Senior Unsecured,7.375,7.375,0.781,BB
IQT14222473,2/15/2004,2/20/1997,MI,Senior Unsecured,7.625,7.625,0.397,BB
IQT14221781,2/1/2007,2/20/1997,VA,Senior Secured,6.75,6.75,200,A
IQT14222757,12/4/1997,2/27/1997,CO,Senior Secured,5.96,5.96,50,A-
IQT14222751,3/4/1998,2/27/1997,CO,Senior Secured,6.02,6.02,50,A-
IQT14222752,9/4/1998,2/27/1997,CO,Senior Secured,6.23,6.23,50,A-
IQT14222578,2/15/2000,2/27/1997,MI,Senior Unsecured,6.625,6.625,0.292,BB
IQT14222472,2/15/2002,2/27/1997,MI,Senior Unsecured,7.375,7.375,0.804,BB
IQT14222470,2/15/2004,2/27/1997,MI,Senior Unsecured,7.875,7.875,0.575,BB
IQT2601511,3/31/2027,2/27/1997,OH,Junior Subordinate,7.92,7.92,40,BBB+
IQT14222750,3/5/2007,2/28/1997,CO,Senior Secured,7.11,7.11,100,A-
IQT14262704,4/1/2027,3/1/1997,NJ,Senior Secured,7.7,7.7,35,BBB+
IQT14222764,2/15/2000,3/6/1997,MI,Senior Unsecured,6.75,6.75,0.102,BB
IQT14222810,2/15/2002,3/6/1997,MI,Senior Unsecured,7.5,7.5,1.431,BB
IQT14222528,3/1/2002,3/13/1997,AR,Senior Secured,7,7,85,BBB
IQT14223100,3/15/2002,3/13/1997,MI,Senior Unsecured,7.625,7.625,1.575,BB
IQT2590340,3/31/2027,3/13/1997,OH,Junior Subordinate,8,8,90,BBB+
IQT32236216,3/31/2027,3/13/1997,OH,Subordinate,8,8,90,A-
IQT2635569,3/31/2027,3/13/1997,OH,Junior Subordinate,7.92,7.92,50,BBB+
IQT14223107,3/15/2000,3/20/1997,MI,Senior Unsecured,7,7,0.752,BB
IQT14223117,3/15/2002,3/20/1997,MI,Senior Unsecured,7.75,7.75,1.351,BB
IQT14223116,3/15/2004,3/20/1997,MI,Senior Unsecured,8,8,3.438,BB
IQT14223153,3/27/2007,3/24/1997,IN,Senior Unsecured,7.38,7.38,2,A-
IQT14223145,3/27/2017,3/24/1997,IN,Senior Unsecured,7.86,7.86,30,A-
IQT14223144,3/27/2017,3/24/1997,IN,Senior Unsecured,7.85,7.85,2,A-
IQT14223200,4/1/2004,3/26/1997,IN,Senior Unsecured,7.39,7.39,50,A-
IQT14223396,4/2/2007,3/26/1997,DE,Senior Unsecured,7.52,7.52,5,A-
IQT14223395,4/2/2007,3/26/1997,DE,Senior Unsecured,7.5,7.5,10,A-
IQT14223202,4/2/2007,3/26/1997,IN,Senior Unsecured,7.45,7.45,2,A-
IQT14223195,4/3/2017,3/26/1997,IN,Senior Unsecured,7.92,7.92,10,A-
IQT14223199,4/3/2017,3/26/1997,IN,Senior Unsecured,7.82,7.82,12,A-
IQT14223196,4/1/2022,3/26/1997,IN,Senior Unsecured,7.99,7.99,20,A-
IQT14223197,3/15/2000,3/27/1997,MI,Senior Unsecured,7,7,0.785,BB
IQT14223205,3/15/2002,3/27/1997,MI,Senior Unsecured,7.75,7.75,1.548,BB
IQT14223208,3/15/2004,3/27/1997,MI,Senior Unsecured,8,8,3.351,BB
IQT14223204,4/2/2004,3/27/1997,IN,Senior Unsecured,7.4,7.4,30,A-
IQT14223203,4/2/2007,3/27/1997,IN,Senior Unsecured,7.5,7.5,15,A-
IQT14223201,4/2/2007,3/27/1997,IN,Senior Unsecured,7.49,7.49,10,A-
IQT14223207,4/3/2017,3/27/1997,IN,Senior Unsecured,7.94,7.94,1,A-
IQT14223206,4/3/2017,3/27/1997,IN,Senior Unsecured,7.93,7.93,2,A-
IQT14223392,3/15/2000,4/3/1997,MI,Senior Unsecured,7.125,7.125,0.356,BB
IQT14223316,3/15/2002,4/3/1997,MI,Senior Unsecured,7.875,7.875,0.798,BB
IQT14223317,3/15/2004,4/3/1997,MI,Senior Unsecured,8.25,8.25,2.542,BB
IQT14223334,4/1/1999,4/7/1997,AZ,Senior Unsecured,6.72,6.72,50,BBB+
IQT14223346,4/9/2007,4/7/1997,LA,Senior Unsecured,7.5,7.5,15,Unknown
IQT14223637,3/15/2000,4/10/1997,MI,Senior Unsecured,7.125,7.125,0.996,BB
IQT14223542,4/15/2002,4/10/1997,MI,Senior Unsecured,7.875,7.875,1.699,BB
IQT14223546,4/15/2004,4/10/1997,MI,Senior Unsecured,8.25,8.25,3.279,BB
IQT14223544,4/15/2005,4/14/1997,IN,Senior Unsecured,7.69,7.69,5,A-
IQT14223561,4/15/2005,4/14/1997,IN,Senior Unsecured,7.68,7.68,20,A-
IQT14223539,4/17/2006,4/14/1997,IN,Senior Unsecured,7.75,7.75,15,A-
IQT14223562,4/16/2008,4/14/1997,IN,Senior Unsecured,7.79,7.79,5,A-
IQT14223821,4/18/2005,4/15/1997,IN,Senior Unsecured,7.69,7.69,1,A-
IQT14223822,4/17/2009,4/16/1997,IN,Senior Unsecured,7.72,7.72,10,A-
IQT14223831,3/15/2000,4/17/1997,MI,Senior Unsecured,7.25,7.25,0.969,BB
IQT14223817,4/15/2002,4/17/1997,MI,Senior Unsecured,8.125,8.125,2.476,BB
IQT14223818,4/15/2004,4/17/1997,MI,Senior Unsecured,8.25,8.25,3.059,BB
IQT14223823,4/21/2005,4/17/1997,IN,Senior Unsecured,7.62,7.62,2,A-
IQT14223972,4/25/2005,4/23/1997,IN,Senior Unsecured,7.58,7.58,2,A-
IQT14223971,3/15/2000,4/24/1997,MI,Senior Unsecured,7.125,7.125,0.868,BB
IQT14223991,4/15/2002,4/24/1997,MI,Senior Unsecured,8,8,1.816,BB
IQT14223990,4/15/2004,4/24/1997,MI,Senior Unsecured,8.125,8.125,2.561,BB
IQT14224252,3/15/2000,5/1/1997,MI,Senior Unsecured,7.125,7.125,1.41,BB
IQT14223940,5/15/2002,5/1/1997,MI,Senior Unsecured,8.125,8.125,350,BB
IQT14224223,4/15/2004,5/1/1997,MI,Senior Unsecured,8.25,8.25,5.984,BB
IQT14224237,5/5/2027,5/1/1997,IN,Senior Unsecured,7.99,7.99,29,A-
IQT14224350,5/8/2006,5/5/1997,IN,Senior Unsecured,7.5,7.5,25,A-
IQT14224433,3/15/2000,5/8/1997,MI,Senior Unsecured,7,7,1.074,BB
IQT14224421,4/15/2004,5/8/1997,MI,Senior Unsecured,8,8,4.692,BB
IQT14224557,6/1/2000,5/12/1997,OH,Senior Secured,6.71,6.71,48,A-
IQT14224525,5/1/2017,5/14/1997,MI,Senior Secured,7.6,7.6,15,A
IQT14224562,5/19/2027,5/14/1997,MA,Senior Secured,6.81,6.81,15,A-
IQT14224551,5/15/2000,5/15/1997,MI,Senior Unsecured,7,7,2.253,BB
IQT14224526,5/15/2004,5/15/1997,MI,Senior Unsecured,8,8,5.848,BB
IQT14224389,5/1/2007,5/15/1997,MI,Senior Secured,7.21,7.21,30,A
IQT32251515,5/1/2007,5/15/1997,MI,Senior Secured,7.21,7.21,14.5,A
IQT14224564,5/21/2007,5/15/1997,OR,Senior Secured,6.8,6.8,10,A
IQT14224559,5/1/2012,5/15/1997,MI,Senior Secured,7.06,7.06,40,A
IQT14224565,5/21/2027,5/15/1997,OR,Senior Secured,7,7,20,A
IQT14224721,5/15/2000,5/22/1997,MI,Senior Unsecured,7,7,0.963,BB
IQT14224847,5/15/2000,5/22/1997,MI,Senior Unsecured,7,7,0.963,BB
IQT14224689,5/15/2002,5/22/1997,MI,Senior Unsecured,7.75,7.75,1.268,BB
IQT14224690,5/15/2004,5/22/1997,MI,Senior Unsecured,8,8,4.432,BB
IQT14224896,5/15/2000,5/29/1997,MI,Senior Unsecured,7,7,0.684,BB
IQT14224883,5/15/2002,5/29/1997,MI,Senior Unsecured,7.75,7.75,0.911,BB
IQT14224882,5/15/2004,5/29/1997,MI,Senior Unsecured,8,8,3.073,BB
IQT14224893,6/4/2027,5/30/1997,NV,Senior Unsecured,7.92,7.92,25,Unknown
IQT14224748,6/1/2002,6/1/1997,IL,Senior Secured,6.75,6.75,50,AA
IQT14225208,6/6/2002,6/3/1997,IN,Senior Unsecured,6.92,6.92,10.5,A
IQT14225210,6/6/2007,6/3/1997,IN,Senior Unsecured,7.25,7.25,12,A
IQT14225209,6/8/2009,6/3/1997,IN,Senior Unsecured,7.35,7.35,1,A
IQT14224889,6/5/2012,6/3/1997,MD,Senior Unsecured,6.75,6.75,30,A+
IQT14224890,6/5/2012,6/3/1997,MD,Senior Unsecured,6.75,6.75,30,A+
IQT14225211,6/12/2017,6/3/1997,IN,Senior Unsecured,7.59,7.59,22.5,A
IQT14225226,6/7/2027,6/3/1997,IN,Senior Unsecured,7.69,7.69,53,A
IQT14225230,5/15/2000,6/5/1997,MI,Senior Unsecured,7,7,1.039,BB
IQT14225188,5/15/2002,6/5/1997,MI,Senior Unsecured,7.75,7.75,1.838,BB
IQT14225184,5/15/2004,6/5/1997,MI,Senior Unsecured,8,8,6.51,BB
IQT14260121,6/1/2027,6/5/1997,WA,Junior Subordinate,8.231,8.231,100,BBB+
IQT32236358,6/1/2027,6/5/1997,WA,Senior Unsecured,8.231,8.231,100,BBB+
IQT32231050,6/1/2027,6/6/1997,WA,Subordinate,8.231,8.231,100,BBB+
IQT14224952,4/15/2002,6/9/1997,MI,Senior Secured,7.125,7.125,168,BBB
IQT14224953,4/15/2007,6/9/1997,MI,Senior Secured,9.382,9.382,75,BB-
IQT32241838,6/1/2037,6/10/1997,0,Senior Unsecured,8.17,8.17,75,BBB
IQT14225008,7/1/2000,6/11/1997,OH,Senior Secured,7.19,7.19,220,BB
IQT14224996,6/1/2002,6/11/1997,MS,Senior Secured,6.875,6.875,65,BBB
IQT14225009,7/1/2004,6/11/1997,OH,Senior Secured,7.67,7.67,350,BB
IQT14225010,7/1/2007,6/11/1997,OH,Senior Secured,7.13,7.13,150,BB
IQT14225341,6/12/2012,6/11/1997,MD,Senior Unsecured,6.75,6.75,25,A+
IQT14225345,6/12/2012,6/11/1997,MD,Senior Unsecured,6.73,6.73,25,A+
IQT14225030,6/1/2000,6/12/1997,NJ,Senior Secured,6.5,6.5,235,A-
IQT14225381,6/15/2000,6/12/1997,MI,Senior Unsecured,7,7,1.276,BB
IQT14225297,5/15/2002,6/12/1997,MI,Senior Unsecured,7.875,7.875,0.802,BB
IQT14225296,6/15/2004,6/12/1997,MI,Senior Unsecured,8,8,5.671,BB
IQT14225550,6/15/2000,6/19/1997,MI,Senior Unsecured,6.75,6.75,0.834,BB
IQT14225596,5/15/2002,6/19/1997,MI,Senior Unsecured,7.5,7.5,2.188,BB
IQT14225274,6/1/2002,6/19/1997,CT,Senior Secured,7.75,7.75,200,BB+
IQT14225566,6/15/2004,6/19/1997,MI,Senior Unsecured,7.75,7.75,1.922,BB
IQT14225961,6/15/2000,6/26/1997,MI,Senior Unsecured,6.75,6.75,0.349,BB
IQT14225936,5/15/2002,6/26/1997,MI,Senior Unsecured,7.5,7.5,1.077,BB
IQT14225935,6/15/2004,6/26/1997,MI,Senior Unsecured,7.75,7.75,1.259,BB
IQT14226016,7/2/1999,6/27/1997,VA,Senior Unsecured,6.35,6.35,60,A
IQT14225960,7/7/2027,6/30/1997,IN,Senior Unsecured,6.42,6.42,5,AA-
IQT14225958,7/7/2027,7/1/1997,IN,Senior Unsecured,6.68,6.68,3.5,AA-
IQT14225959,7/9/2007,7/2/1997,IN,Senior Unsecured,6.54,6.54,6.5,AA-
IQT2619158,7/1/2000,7/9/1997,TX,Senior Unsecured,7,7,918.75,BBB
IQT14247844,7/15/2004,7/9/1997,OR,Senior Secured,6.75,6.75,175,A
IQT14225823,7/15/2009,7/9/1997,OR,Senior Secured,7,7,125,A
IQT32256066,7/15/2009,7/9/1997,OR,Senior Unsecured,7,7,125,A
IQT14226570,6/15/2000,7/10/1997,MI,Senior Unsecured,6.75,6.75,2.505,BB
IQT14226470,7/15/2002,7/10/1997,MI,Senior Unsecured,7.5,7.5,4.324,BB
IQT14226473,7/15/2004,7/10/1997,MI,Senior Unsecured,7.75,7.75,3.66,BB
IQT14226543,7/17/2017,7/10/1997,GA,Senior Unsecured,7.2,7.2,22,A-
IQT14226544,7/15/2027,7/10/1997,GA,Senior Unsecured,7.3,7.3,53.5,A-
IQT32239850,8/15/2007,7/15/1997,PA,Senior Unsecured,6.75,6.75,10,Unknown
IQT14225982,7/15/2017,7/15/1997,OK,Senior Unsecured,6.5,6.5,125,AA-
IQT14225983,7/15/2027,7/15/1997,OK,Senior Unsecured,6.65,6.65,125,AA-
IQT14226583,6/15/2000,7/17/1997,MI,Senior Unsecured,6.625,6.625,0.975,BB
IQT14226471,7/15/2002,7/17/1997,MI,Senior Unsecured,7.375,7.375,3.868,BB
IQT14226472,7/15/2004,7/17/1997,MI,Senior Unsecured,7.625,7.625,2.967,BB
IQT14226542,5/1/2006,7/21/1997,MD,Senior Unsecured,6.66,6.66,25,A+
IQT14226192,7/1/1999,7/22/1997,FL,Senior Unsecured,6.21,6.21,15,AA-
IQT14226191,7/1/2000,7/22/1997,FL,Senior Unsecured,6.33,6.33,75,AA-
IQT14226190,7/1/2001,7/22/1997,FL,Senior Unsecured,6.47,6.47,80,AA-
IQT14226189,7/1/2002,7/22/1997,FL,Senior Unsecured,6.54,6.54,30,AA-
IQT14226188,7/1/2003,7/22/1997,FL,Senior Unsecured,6.62,6.62,35,AA-
IQT14226187,7/1/2004,7/22/1997,FL,Senior Unsecured,6.69,6.69,40,AA-
IQT14226186,7/1/2005,7/22/1997,FL,Senior Unsecured,6.72,6.72,45,AA-
IQT14226185,7/1/2006,7/22/1997,FL,Senior Unsecured,6.77,6.77,45,AA-
IQT14226184,7/1/2007,7/22/1997,FL,Senior Unsecured,6.81,6.81,85,AA-
IQT14227045,6/15/2000,7/24/1997,MI,Senior Unsecured,6.5,6.5,0.471,BB
IQT14226931,7/15/2002,7/24/1997,MI,Senior Unsecured,7.25,7.25,2.197,BB
IQT14227046,7/15/2004,7/24/1997,MI,Senior Unsecured,7.5,7.5,2.459,BB
IQT2616936,6/30/2037,7/28/1997,FL,Junior Subordinate,7.5,7.5,20,A+
IQT14226356,7/1/2001,7/29/1997,MA,Senior Secured,7.375,7.375,60,BB+
IQT14227089,8/1/2017,7/29/1997,OR,Senior Secured,7,7,40,A
IQT14227209,8/6/2007,7/30/1997,IN,Senior Unsecured,6.69,6.69,7,A
IQT14227210,8/4/2017,7/30/1997,IN,Senior Unsecured,7.02,7.02,5,A
IQT14227213,8/4/2027,7/30/1997,IN,Senior Unsecured,7.16,7.16,5,A
IQT14227233,6/15/2000,7/31/1997,MI,Senior Unsecured,6.5,6.5,0.822,BB
IQT14227191,7/15/2002,7/31/1997,MI,Senior Unsecured,7.25,7.25,2.363,BB
IQT14227190,7/15/2004,7/31/1997,MI,Senior Unsecured,7.625,7.625,2.257,BB
IQT14227211,8/6/2007,8/1/1997,IN,Senior Unsecured,6.79,6.79,10,A
IQT14226991,8/6/2012,8/1/1997,UT,Senior Unsecured,6.91,6.91,20,A+
IQT14227145,8/6/2012,8/1/1997,UT,Senior Unsecured,6.9,6.9,5,A+
IQT14227208,8/8/2007,8/5/1997,IN,Senior Unsecured,6.87,6.87,3,A
IQT14227234,6/15/2000,8/7/1997,MI,Senior Unsecured,6.5,6.5,0.531,BB
IQT14227188,7/15/2002,8/7/1997,MI,Senior Unsecured,7.25,7.25,1.359,BB
IQT14227189,7/15/2004,8/7/1997,MI,Senior Unsecured,7.625,7.625,1.765,BB
IQT14227496,8/15/2000,8/14/1997,MI,Senior Unsecured,6.625,6.625,0.777,BB
IQT14227468,8/15/2002,8/14/1997,MI,Senior Unsecured,7.25,7.25,3.487,BB
IQT14227467,8/15/2004,8/14/1997,MI,Senior Unsecured,7.5,7.5,1.783,BB
IQT14245176,12/14/2007,8/14/1997,LA,Senior Unsecured,7,7,25,Unknown
IQT14227513,8/15/2000,8/21/1997,MI,Senior Unsecured,6.625,6.625,0.927,BB
IQT14227476,8/15/2002,8/21/1997,MI,Senior Unsecured,7.25,7.25,2.767,BB
IQT14227475,8/15/2004,8/21/1997,MI,Senior Unsecured,7.5,7.5,1.97,BB
IQT14227258,8/15/2007,8/21/1997,NC,Senior Secured,6.8,6.8,200,A
IQT32244113,8/15/2007,8/21/1997,NC,Senior Secured,6.8,6.8,1,A
IQT14228331,8/30/2022,8/21/1997,IN,Senior Unsecured,7.4,7.4,10,A
IQT14228323,8/15/2000,8/28/1997,MI,Senior Unsecured,6.625,6.625,0.359,BB
IQT14227658,8/15/2002,8/28/1997,MI,Senior Unsecured,7.25,7.25,1.452,BB
IQT14227659,8/15/2004,8/28/1997,MI,Senior Unsecured,7.5,7.5,1.561,BB
IQT14233958,6/1/2002,9/2/1997,CT,Senior Secured,7.75,7.75,200,BB+
IQT14228530,8/15/2000,9/4/1997,MI,Senior Unsecured,6.625,6.625,0.114,BB
IQT14228233,8/15/2002,9/4/1997,MI,Senior Unsecured,7.25,7.25,1.458,BB
IQT14228232,8/15/2004,9/4/1997,MI,Senior Unsecured,7.5,7.5,1.56,BB
IQT14228322,9/15/2000,9/11/1997,MI,Senior Unsecured,6.625,6.625,0.313,BB
IQT14228234,8/15/2002,9/11/1997,MI,Senior Unsecured,7.25,7.25,2.229,BB
IQT14228235,9/15/2004,9/11/1997,MI,Senior Unsecured,7.5,7.5,2.901,BB
IQT14230540,9/15/2027,9/15/1997,WA,Senior Unsecured,7.48,7.48,20,BBB+
IQT14255404,8/15/2002,9/18/1997,MI,Senior Unsecured,7.25,7.25,1.38,BB
IQT14260977,9/15/2004,9/18/1997,MI,Senior Unsecured,7.5,7.5,2.438,BB
IQT14325291,9/24/2027,9/18/1997,NV,Senior Unsecured,6.76,6.76,7.5,Unknown
IQT14228251,9/24/2007,9/19/1997,NV,Senior Unsecured,6.89,6.89,17.5,Unknown
IQT14228053,11/15/2004,9/23/1997,MI,Senior Unsecured,7.625,7.625,180,BB
IQT14268465,9/29/2011,9/24/1997,UT,Senior Unsecured,6.89,6.89,2,A+
IQT14229159,10/1/2012,9/24/1997,UT,Senior Unsecured,6.89,6.89,3,A+
IQT14229575,10/1/2012,9/24/1997,UT,Senior Unsecured,6.85,6.85,35,A+
IQT14229574,9/30/2013,9/24/1997,UT,Senior Unsecured,6.89,6.89,2,A+
IQT14231183,7/1/2000,9/25/1997,OH,Senior Secured,7.19,7.19,220,BB+
IQT14229450,9/15/2000,9/25/1997,MI,Senior Unsecured,6.5,6.5,0.778,BB
IQT14229583,10/2/2000,9/25/1997,WA,Senior Secured,6.24,6.24,15,A
IQT14229261,8/15/2002,9/25/1997,MI,Senior Unsecured,7.125,7.125,1.187,BB
IQT14231184,7/1/2004,9/25/1997,OH,Senior Secured,7.67,7.67,350,BB+
IQT14229164,9/15/2004,9/25/1997,MI,Senior Unsecured,7.375,7.375,3.767,BB
IQT14229435,11/1/2004,9/25/1997,OH,Senior Unsecured,6.73,6.73,48,A-
IQT14229580,10/1/2007,9/25/1997,HI,Senior Unsecured,6.93,6.93,5,BBB
IQT14229577,10/1/2012,9/25/1997,HI,Senior Unsecured,7.13,7.13,7,BBB
IQT14229584,8/30/2000,9/26/1997,WA,Senior Secured,6.2,6.2,5,A
IQT14229429,10/1/2007,9/26/1997,KY,Senior Unsecured,6.91,6.91,48,BBB+
IQT14229579,10/1/2007,9/26/1997,HI,Senior Unsecured,6.9,6.9,5,BBB
IQT14267754,10/4/2004,9/29/1997,HI,Senior Unsecured,6.8,6.8,1,BBB
IQT14229230,9/30/2027,9/29/1997,RI,Senior Secured,7.39,7.39,3,A+
IQT14229268,10/1/2027,9/29/1997,RI,Senior Secured,7.39,7.39,7,A+
IQT14229272,10/1/2027,9/29/1997,MA,Senior Secured,7.39,7.39,15,A+
IQT14228336,10/1/2004,9/30/1997,MO,Senior Unsecured,6.875,6.875,150,BBB
IQT14230521,10/3/2005,9/30/1997,OH,Senior Unsecured,6.85,6.85,48,A-
IQT14229578,10/6/2005,10/1/1997,HI,Senior Unsecured,6.83,6.83,1,BBB
IQT14229571,9/15/2000,10/2/1997,MI,Senior Unsecured,6.5,6.5,0.365,BB
IQT14229258,10/15/2002,10/2/1997,MI,Senior Unsecured,7.125,7.125,1.958,BB
IQT14229165,9/15/2004,10/2/1997,MI,Senior Unsecured,7.375,7.375,6.079,BB
IQT14228444,10/15/2007,10/2/1997,DC,Senior Secured,6.25,6.25,175,A
IQT32232487,10/8/2007,10/3/1997,CT,Senior Unsecured,6.62,6.62,1,A-
IQT32229711,10/9/2007,10/3/1997,CT,Senior Unsecured,6.65,6.65,1,A-
IQT14230561,10/10/2017,10/3/1997,UT,Senior Unsecured,6.85,6.85,14.5,A+
IQT14228527,10/15/2002,10/6/1997,PA,Senior Secured,6.3,6.3,10,Unknown
IQT32254084,10/9/2007,10/6/1997,CT,Senior Unsecured,6.69,6.69,17,A-
IQT14229624,10/8/2009,10/6/1997,MD,Senior Unsecured,6.56,6.56,11.5,A+
IQT14229449,9/15/2000,10/9/1997,MI,Senior Unsecured,6.25,6.25,0.475,BB
IQT14229347,10/15/2002,10/9/1997,MI,Senior Unsecured,7,7,3.547,BB
IQT14229346,10/15/2004,10/9/1997,MI,Senior Unsecured,7.125,7.125,3.876,BB
IQT14229451,9/15/2000,10/16/1997,MI,Senior Unsecured,6.5,6.5,0.39,BB
IQT14229353,10/15/2002,10/16/1997,MI,Senior Unsecured,7.25,7.25,7.307,BB
IQT14229350,10/15/2004,10/16/1997,MI,Senior Unsecured,7.375,7.375,4.81,BB
IQT14228954,11/1/2009,10/16/1997,OH,Senior Secured,7.43,7.43,150,BB+
IQT14228945,10/15/2012,10/16/1997,MO,Senior Secured,6.5,6.5,25,AA-
IQT32248957,10/15/2012,10/16/1997,MO,Senior Unsecured,6.5,6.5,6.489,AA-
IQT14228953,11/1/2017,10/16/1997,OH,Senior Secured,7.88,7.88,300,BB+
IQT14229454,10/3/2005,10/17/1997,DE,Senior Unsecured,6.84,6.84,10,A
IQT14229629,10/1/2002,10/22/1997,DE,Senior Unsecured,6.59,6.59,12,A
